Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CS1_0.5,IMU_connector_1_0.5mm,FC-5A7P11H20-05pitch_7pin,76.9,-74.0885,180.0,top
CS1_1.0,IMU_connector_1_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,71.35,-105.2,90.0,top
CS2_0.5,IMU_connector_2_0.5mm,FC-5A7P11H20-05pitch_7pin,85.871429,-74.0885,180.0,top
CS2_1.0,IMU_connector_2_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,81.0,-111.45,180.0,top
CS3_0.5,IMU_connector_3_0.5mm,FC-5A7P11H20-05pitch_7pin,94.842857,-74.0885,180.0,top
CS3_1.0,IMU_connector_3_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,94.425,-111.45,180.0,top
CS4_0.5,IMU_connector_4_0.5mm,FC-5A7P11H20-05pitch_7pin,103.814286,-74.0885,180.0,top
CS4_1.0,IMU_connector_4_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,107.85,-111.45,180.0,top
CS5_0.5,IMU_connector_5_0.5mm,FC-5A7P11H20-05pitch_7pin,112.785714,-74.0885,180.0,top
CS5_1.0,IMU_connector_5_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,121.275,-111.45,180.0,top
CS6_0.5,IMU_connector_6_0.5mm,FC-5A7P11H20-05pitch_7pin,121.757143,-74.0885,180.0,top
CS6_1.0,IMU_connector_6_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,134.7,-111.45,180.0,top
CS7_0.5,IMU_connector_7_0.5mm,FC-5A7P11H20-05pitch_7pin,130.728571,-74.0885,180.0,top
CS7_1.0,IMU_connector_7_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,145.375,-102.5,-90.0,top
CS8_0.5,IMU_connector_8_0.5mm,FC-5A7P11H20-05pitch_7pin,139.7,-74.0885,180.0,top
CS8_1.0,IMU_connector_8_1.0mm,FPC-SMD_XUNPU_FPC-1.0FX-7PWCR-H20,145.275,-89.3,-90.0,top
J1,CS1_JP,PinHeader_1x06_P2.54mm_Vertical,93.3,-91.53,0.0,top
J2,CS2_JP,PinHeader_1x06_P2.54mm_Vertical,99.385714,-91.53,0.0,top
J3,CS3_JP,PinHeader_1x06_P2.54mm_Vertical,105.471429,-91.53,0.0,top
J4,CS4_JP,PinHeader_1x06_P2.54mm_Vertical,111.557143,-91.53,0.0,top
J5,CS5_JP,PinHeader_1x06_P2.54mm_Vertical,117.642857,-91.53,0.0,top
J6,CS6_JP,PinHeader_1x06_P2.54mm_Vertical,123.728571,-91.53,0.0,top
J7,CS7_JP,PinHeader_1x06_P2.54mm_Vertical,129.814286,-91.53,0.0,top
J8,CS8_JP,PinHeader_1x06_P2.54mm_Vertical,135.9,-91.53,0.0,top
U1,XIAO-ESP32-C6,XIAO-ESP32C6-DIP,76.62,-88.28,90.0,top
